Flight Number,Date,Origin,Destination,Scheduled Departure Time,,Actual Departure Time,,Scheduled Arrival Time,,Actual Arrival Time,,Flight Duration,Delay (in minutes),Cancellation,Reason for Delay,Number of Passengers,Customer Satisfaction Score
SH5578,20-03-2024,JFK,LAX,01-01-2023 17:55,,01-01-2023 17:55,,01-01-2023 21:33,,01-01-2023 22:48,,218,75,No,Weather,135,6
SH3048,07-08-2025,MIA,SFO,01-01-2023 03:31,,01-01-2023 05:19,,01-01-2023 08:13,,01-01-2023 08:27,,282,14,Yes,Weather,215,8
SH8195,11-07-2025,LAX,SEA,01-01-2023 23:58,,02-01-2023 01:26,,02-01-2023 05:55,,02-01-2023 06:56,,357,61,No,Air Traffic,106,3
SH1254,27-09-2024,SFO,MIA,01-01-2023 02:28,,01-01-2023 03:26,,01-01-2023 07:52,,01-01-2023 08:35,,324,43,No,Crew Unavailability,114,1
SH1256,24-03-2023,ORD,MIA,01-01-2023 16:47,,01-01-2023 18:02,,01-01-2023 18:23,,01-01-2023 20:13,,96,110,No,None,203,8
SH5632,25-06-2025,ORD,MIA,01-01-2023 07:02,,01-01-2023 08:43,,01-01-2023 11:17,,01-01-2023 13:15,,255,118,No,Crew Unavailability,66,6
SH0328,28-05-2024,LAS,SEA,01-01-2023 23:11,,02-01-2023 00:41,,02-01-2023 02:05,,02-01-2023 02:13,,174,8,No,Weather,289,1
SH8794,16-06-2025,SEA,LAX,01-01-2023 18:37,,01-01-2023 18:45,,01-01-2023 23:41,,02-01-2023 01:32,,304,111,No,Air Traffic,174,5
SH3340,11-05-2023,DEN,SFO,01-01-2023 23:48,,02-01-2023 01:22,,02-01-2023 02:23,,02-01-2023 03:31,,155,68,No,Weather,203,1
SH7749,10-03-2025,LAS,LAX,01-01-2023 00:45,,01-01-2023 00:50,,01-01-2023 01:55,,01-01-2023 03:47,,70,112,No,None,265,5
SH3841,19-04-2025,DEN,SFO,01-01-2023 03:19,,01-01-2023 03:40,,01-01-2023 06:00,,01-01-2023 07:39,,161,99,No,Technical Issue,227,8
SH6296,10-02-2024,MIA,SFO,01-01-2023 21:49,,01-01-2023 23:35,,02-01-2023 02:50,,02-01-2023 03:58,,301,68,Yes,Technical Issue,280,6
SH5220,25-09-2023,JFK,ORD,01-01-2023 16:41,,01-01-2023 16:49,,01-01-2023 21:46,,01-01-2023 23:36,,305,110,No,Air Traffic,246,5
SH2597,11-07-2024,LAX,SEA,01-01-2023 12:22,,01-01-2023 12:31,,01-01-2023 14:21,,01-01-2023 16:04,,119,103,No,Crew Unavailability,217,1
SH6649,26-02-2025,SEA,ATL,01-01-2023 05:31,,01-01-2023 07:21,,01-01-2023 10:41,,01-01-2023 12:16,,310,95,No,Technical Issue,84,8
SH1935,22-10-2024,LAS,JFK,01-01-2023 19:15,,01-01-2023 20:15,,01-01-2023 21:47,,01-01-2023 23:45,,152,118,No,Air Traffic,80,7
SH1724,09-05-2025,ATL,SEA,01-01-2023 06:50,,01-01-2023 07:27,,01-01-2023 11:30,,01-01-2023 11:44,,280,14,No,Air Traffic,237,10
SH4061,07-12-2023,DFW,ATL,01-01-2023 06:47,,01-01-2023 07:56,,01-01-2023 09:53,,01-01-2023 11:19,,186,86,No,Technical Issue,272,1
SH5970,21-02-2024,JFK,LAX,01-01-2023 06:31,,01-01-2023 07:01,,01-01-2023 09:35,,01-01-2023 10:32,,184,57,No,None,173,2
SH5874,13-04-2025,DEN,SEA,01-01-2023 18:21,,01-01-2023 20:07,,01-01-2023 22:53,,01-01-2023 23:59,,272,66,No,Weather,249,6
SH7702,15-05-2024,LAX,ATL,01-01-2023 17:13,,01-01-2023 17:35,,01-01-2023 23:03,,01-01-2023 23:10,,350,7,No,Crew Unavailability,211,9
SH7963,27-05-2024,DFW,JFK,01-01-2023 15:05,,01-01-2023 16:19,,01-01-2023 17:39,,01-01-2023 19:34,,154,115,No,Crew Unavailability,59,9
SH7519,14-03-2025,SEA,SEA,01-01-2023 23:04,,02-01-2023 00:39,,02-01-2023 00:41,,02-01-2023 02:17,,97,96,No,Weather,278,6
SH4324,16-02-2025,SEA,JFK,01-01-2023 16:41,,01-01-2023 18:37,,01-01-2023 19:30,,01-01-2023 21:12,,169,102,No,None,162,8
SH1655,17-11-2023,DFW,DEN,01-01-2023 20:07,,01-01-2023 21:39,,02-01-2023 00:50,,02-01-2023 02:15,,283,85,No,Crew Unavailability,75,4
SH6400,28-02-2024,SEA,DFW,01-01-2023 06:23,,01-01-2023 07:25,,01-01-2023 08:43,,01-01-2023 10:19,,140,96,No,Technical Issue,183,9
SH2582,16-08-2024,LAS,JFK,01-01-2023 16:45,,01-01-2023 17:30,,01-01-2023 21:53,,01-01-2023 22:13,,308,20,No,Technical Issue,52,4
SH3587,02-06-2024,SEA,LAS,01-01-2023 12:58,,01-01-2023 14:17,,01-01-2023 18:12,,01-01-2023 18:23,,314,11,No,Technical Issue,167,10
SH0747,05-03-2024,JFK,ATL,01-01-2023 04:17,,01-01-2023 04:18,,01-01-2023 09:31,,01-01-2023 10:25,,314,54,No,Weather,218,7
SH3819,30-08-2024,SFO,JFK,01-01-2023 21:22,,01-01-2023 22:32,,02-01-2023 01:33,,02-01-2023 02:13,,251,40,No,Crew Unavailability,206,10
SH0917,06-04-2025,ATL,LAX,01-01-2023 11:35,,01-01-2023 12:44,,01-01-2023 15:18,,01-01-2023 15:44,,223,26,No,Air Traffic,136,6
SH6688,30-07-2023,MIA,MIA,01-01-2023 07:51,,01-01-2023 08:11,,01-01-2023 12:18,,01-01-2023 14:09,,267,111,No,Weather,115,1
SH1696,20-09-2024,DEN,MIA,01-01-2023 22:26,,01-01-2023 23:43,,02-01-2023 02:45,,02-01-2023 03:01,,259,16,No,Crew Unavailability,75,3
SH8931,24-05-2025,DEN,LAX,01-01-2023 15:16,,01-01-2023 15:57,,01-01-2023 19:08,,01-01-2023 20:05,,232,57,No,None,151,5
SH7258,23-05-2025,ATL,MIA,01-01-2023 10:12,,01-01-2023 11:09,,01-01-2023 14:28,,01-01-2023 16:24,,256,116,No,Crew Unavailability,264,8
SH7034,14-04-2024,LAS,ATL,01-01-2023 06:57,,01-01-2023 08:54,,01-01-2023 08:07,,01-01-2023 08:23,,70,16,No,Crew Unavailability,265,8
SH7553,23-12-2024,JFK,DFW,01-01-2023 20:20,,01-01-2023 20:24,,01-01-2023 22:00,,01-01-2023 23:30,,100,90,No,Crew Unavailability,65,3
SH7911,31-12-2023,JFK,MIA,01-01-2023 03:49,,01-01-2023 04:51,,01-01-2023 09:07,,01-01-2023 10:53,,318,106,No,Weather,202,8
SH3390,16-11-2024,JFK,DEN,01-01-2023 02:48,,01-01-2023 02:49,,01-01-2023 06:50,,01-01-2023 07:03,,242,13,No,Technical Issue,194,7
SH3848,29-04-2023,SFO,SFO,01-01-2023 06:35,,01-01-2023 06:56,,01-01-2023 09:11,,01-01-2023 09:56,,156,45,No,Technical Issue,155,1
SH9529,03-09-2025,DEN,SEA,01-01-2023 13:13,,01-01-2023 14:27,,01-01-2023 17:12,,01-01-2023 18:41,,239,89,No,None,177,4
SH8916,24-09-2023,LAS,ORD,01-01-2023 21:30,,01-01-2023 22:04,,02-01-2023 02:54,,02-01-2023 03:23,,324,29,No,Crew Unavailability,250,8
SH3412,18-06-2023,JFK,MIA,01-01-2023 00:17,,01-01-2023 01:18,,01-01-2023 05:46,,01-01-2023 07:09,,329,83,No,Technical Issue,287,10
SH0552,20-04-2023,ATL,MIA,01-01-2023 04:40,,01-01-2023 04:59,,01-01-2023 10:17,,01-01-2023 10:57,,337,40,No,None,293,9
SH1071,22-02-2025,DEN,ATL,01-01-2023 05:36,,01-01-2023 07:23,,01-01-2023 10:38,,01-01-2023 12:25,,302,107,No,Air Traffic,197,1
SH8209,06-03-2024,DEN,LAX,01-01-2023 16:09,,01-01-2023 17:28,,01-01-2023 21:44,,01-01-2023 22:03,,335,19,No,None,239,3
SH1935,04-02-2024,DEN,ORD,01-01-2023 12:57,,01-01-2023 14:05,,01-01-2023 17:51,,01-01-2023 18:50,,294,59,No,Weather,282,1
SH5373,20-06-2024,MIA,LAS,01-01-2023 09:12,,01-01-2023 09:36,,01-01-2023 12:13,,01-01-2023 13:06,,181,53,No,Air Traffic,135,7
SH2556,06-09-2025,ATL,ORD,01-01-2023 13:04,,01-01-2023 14:13,,01-01-2023 16:02,,01-01-2023 16:07,,178,5,No,Crew Unavailability,55,1
SH1887,22-12-2024,JFK,LAS,01-01-2023 18:59,,01-01-2023 19:01,,02-01-2023 00:30,,02-01-2023 00:39,,331,9,No,Air Traffic,259,5
SH2398,12-08-2025,DFW,LAS,01-01-2023 02:15,,01-01-2023 02:50,,01-01-2023 08:04,,01-01-2023 08:25,,349,21,No,Air Traffic,282,1
SH7830,21-06-2023,ORD,LAX,01-01-2023 08:55,,01-01-2023 09:05,,01-01-2023 13:48,,01-01-2023 13:52,,293,4,No,None,175,2
SH4056,03-05-2025,LAX,DEN,01-01-2023 21:34,,01-01-2023 23:12,,02-01-2023 01:40,,02-01-2023 03:12,,246,92,No,Technical Issue,72,4
SH0150,20-05-2024,ORD,MIA,01-01-2023 03:09,,01-01-2023 04:00,,01-01-2023 04:57,,01-01-2023 06:12,,108,75,No,Technical Issue,72,2
SH7120,06-04-2025,JFK,JFK,01-01-2023 10:44,,01-01-2023 11:58,,01-01-2023 13:30,,01-01-2023 14:15,,166,45,No,None,105,9
SH2233,24-09-2025,JFK,ORD,01-01-2023 03:58,,01-01-2023 04:28,,01-01-2023 06:31,,01-01-2023 08:23,,153,112,No,Crew Unavailability,69,8
SH9796,31-01-2024,SEA,ATL,01-01-2023 06:50,,01-01-2023 08:42,,01-01-2023 08:15,,01-01-2023 09:47,,85,92,No,Air Traffic,220,6
SH2894,18-11-2024,ATL,MIA,01-01-2023 13:54,,01-01-2023 14:39,,01-01-2023 18:17,,01-01-2023 19:33,,263,76,No,Technical Issue,204,2
SH0541,22-10-2023,LAX,JFK,01-01-2023 07:14,,01-01-2023 08:13,,01-01-2023 09:16,,01-01-2023 10:07,,122,51,No,Air Traffic,224,2
SH4760,25-09-2025,DFW,LAX,01-01-2023 00:23,,01-01-2023 02:17,,01-01-2023 02:08,,01-01-2023 03:01,,105,53,No,Crew Unavailability,117,3
SH6184,26-04-2025,DFW,SFO,01-01-2023 14:22,,01-01-2023 15:22,,01-01-2023 16:53,,01-01-2023 17:45,,151,52,No,Air Traffic,83,7
SH5313,17-03-2023,DEN,JFK,01-01-2023 06:24,,01-01-2023 06:33,,01-01-2023 07:51,,01-01-2023 08:47,,87,56,No,Air Traffic,246,2
SH1149,10-07-2025,JFK,LAX,01-01-2023 07:04,,01-01-2023 08:27,,01-01-2023 08:30,,01-01-2023 09:45,,86,75,No,Air Traffic,194,1
SH7561,27-09-2024,JFK,MIA,01-01-2023 07:21,,01-01-2023 08:09,,01-01-2023 09:13,,01-01-2023 09:19,,112,6,No,Weather,165,6
SH8904,19-01-2025,LAX,MIA,01-01-2023 10:30,,01-01-2023 10:45,,01-01-2023 12:53,,01-01-2023 12:59,,143,6,No,None,198,3
SH4802,06-04-2024,ORD,DFW,01-01-2023 06:15,,01-01-2023 06:53,,01-01-2023 08:07,,01-01-2023 08:50,,112,43,No,Weather,62,10
SH1161,15-02-2023,ORD,LAS,01-01-2023 14:38,,01-01-2023 16:07,,01-01-2023 18:15,,01-01-2023 20:04,,217,109,No,None,191,7
SH1509,04-04-2023,DEN,ATL,01-01-2023 01:28,,01-01-2023 03:28,,01-01-2023 03:58,,01-01-2023 05:30,,150,92,No,Weather,282,1
SH6835,07-05-2023,DFW,LAX,01-01-2023 12:28,,01-01-2023 14:26,,01-01-2023 14:24,,01-01-2023 14:41,,116,17,No,Weather,183,3
SH4694,18-03-2025,DEN,ATL,01-01-2023 14:06,,01-01-2023 14:34,,01-01-2023 18:12,,01-01-2023 19:53,,246,101,No,None,114,4
SH9579,29-12-2023,ATL,MIA,01-01-2023 13:33,,01-01-2023 14:19,,01-01-2023 16:18,,01-01-2023 16:26,,165,8,No,Technical Issue,120,9
SH2345,22-09-2024,LAX,MIA,01-01-2023 00:30,,01-01-2023 01:58,,01-01-2023 05:18,,01-01-2023 05:31,,288,13,No,Air Traffic,289,2
SH6667,23-06-2025,ORD,LAS,01-01-2023 23:58,,02-01-2023 00:21,,02-01-2023 04:12,,02-01-2023 04:28,,254,16,No,Technical Issue,112,9
SH8737,19-04-2023,MIA,DFW,01-01-2023 14:08,,01-01-2023 14:44,,01-01-2023 18:06,,01-01-2023 19:23,,238,77,No,None,271,9
SH0092,16-02-2025,LAX,MIA,01-01-2023 23:53,,02-01-2023 01:48,,02-01-2023 02:48,,02-01-2023 03:28,,175,40,No,Weather,228,8
SH5231,13-06-2025,MIA,DFW,01-01-2023 04:13,,01-01-2023 04:14,,01-01-2023 09:58,,01-01-2023 10:05,,345,7,No,Air Traffic,163,2
SH1875,22-11-2023,DFW,LAS,01-01-2023 00:00,,01-01-2023 00:19,,01-01-2023 02:50,,01-01-2023 03:56,,170,66,No,Crew Unavailability,76,3
SH9012,20-11-2024,JFK,LAX,01-01-2023 15:59,,01-01-2023 17:22,,01-01-2023 19:51,,01-01-2023 20:55,,232,64,No,Technical Issue,187,4
SH7404,01-11-2023,JFK,ORD,01-01-2023 12:02,,01-01-2023 12:37,,01-01-2023 15:13,,01-01-2023 17:08,,191,115,No,Technical Issue,112,5
SH7533,10-07-2025,JFK,LAX,01-01-2023 23:02,,02-01-2023 00:49,,02-01-2023 01:16,,02-01-2023 01:49,,134,33,No,Air Traffic,188,10
SH6852,03-09-2024,MIA,JFK,01-01-2023 21:07,,01-01-2023 21:26,,01-01-2023 22:41,,01-01-2023 23:45,,94,64,No,None,173,10
SH7720,28-07-2024,JFK,DEN,01-01-2023 20:11,,01-01-2023 20:31,,02-01-2023 00:31,,02-01-2023 02:18,,260,107,No,Weather,171,1
SH7228,03-02-2024,SFO,DEN,01-01-2023 21:29,,01-01-2023 22:05,,01-01-2023 23:18,,02-01-2023 00:14,,109,56,No,Weather,100,6
SH9663,17-08-2024,ORD,SFO,01-01-2023 11:27,,01-01-2023 13:20,,01-01-2023 15:05,,01-01-2023 16:40,,218,95,No,Crew Unavailability,169,5
SH8114,04-08-2023,ATL,SEA,01-01-2023 14:02,,01-01-2023 14:37,,01-01-2023 19:23,,01-01-2023 20:16,,321,53,No,Weather,174,9
SH5474,25-09-2025,DEN,SEA,01-01-2023 08:41,,01-01-2023 09:13,,01-01-2023 10:52,,01-01-2023 12:24,,131,92,No,None,160,3
SH6142,23-06-2023,DFW,DFW,01-01-2023 19:33,,01-01-2023 21:20,,01-01-2023 23:44,,02-01-2023 01:32,,251,108,No,Technical Issue,76,2
SH7899,21-05-2025,LAX,JFK,01-01-2023 02:32,,01-01-2023 03:47,,01-01-2023 07:45,,01-01-2023 08:37,,313,52,No,None,128,1
SH4709,14-06-2023,SEA,LAS,01-01-2023 09:27,,01-01-2023 09:34,,01-01-2023 14:45,,01-01-2023 16:12,,318,87,No,Crew Unavailability,215,6
SH8734,07-09-2024,LAS,DEN,01-01-2023 00:59,,01-01-2023 01:14,,01-01-2023 03:57,,01-01-2023 05:12,,178,75,No,None,272,3
SH7161,20-02-2024,SEA,DEN,01-01-2023 22:05,,01-01-2023 22:27,,02-01-2023 01:55,,02-01-2023 02:57,,230,62,No,Air Traffic,208,10
SH8458,21-02-2023,ATL,SFO,01-01-2023 07:51,,01-01-2023 09:25,,01-01-2023 11:05,,01-01-2023 11:28,,194,23,No,Technical Issue,221,10
SH0327,23-04-2024,JFK,ORD,01-01-2023 07:41,,01-01-2023 09:10,,01-01-2023 12:47,,01-01-2023 12:53,,306,6,No,None,56,8
SH2575,21-06-2023,SFO,MIA,01-01-2023 19:30,,01-01-2023 19:49,,01-01-2023 21:17,,01-01-2023 21:52,,107,35,No,Crew Unavailability,229,8
SH1202,08-07-2023,ORD,LAX,01-01-2023 00:13,,01-01-2023 00:16,,01-01-2023 04:16,,01-01-2023 05:22,,243,66,No,Technical Issue,88,5
SH4764,23-01-2023,SFO,DEN,01-01-2023 22:25,,01-01-2023 23:37,,02-01-2023 03:51,,02-01-2023 05:41,,326,110,No,Weather,255,7
SH3027,10-01-2023,LAX,SEA,01-01-2023 00:03,,01-01-2023 01:55,,01-01-2023 02:39,,01-01-2023 03:50,,156,71,No,None,251,1
SH7677,02-06-2025,SFO,ORD,01-01-2023 23:41,,01-01-2023 23:44,,02-01-2023 04:36,,02-01-2023 06:25,,295,109,No,Technical Issue,71,7
SH6859,18-01-2024,SFO,LAS,01-01-2023 03:59,,01-01-2023 04:39,,01-01-2023 07:54,,01-01-2023 08:26,,235,32,No,Air Traffic,249,8
SH7544,28-01-2023,LAX,SFO,01-01-2023 08:30,,01-01-2023 09:02,,01-01-2023 12:25,,01-01-2023 12:54,,235,29,No,None,119,2
SH0075,19-02-2025,JFK,ORD,01-01-2023 17:11,,01-01-2023 18:20,,01-01-2023 18:44,,01-01-2023 20:31,,93,107,Yes,Technical Issue,250,2
SH9220,18-08-2023,SEA,LAX,01-01-2023 10:19,,01-01-2023 10:21,,01-01-2023 14:57,,01-01-2023 15:35,,278,38,No,Crew Unavailability,172,10
SH0384,07-09-2025,LAS,DFW,01-01-2023 00:39,,01-01-2023 01:49,,01-01-2023 03:16,,01-01-2023 04:28,,157,72,No,Weather,128,3
SH1011,06-04-2025,DFW,LAX,01-01-2023 09:40,,01-01-2023 10:25,,01-01-2023 14:16,,01-01-2023 15:31,,276,75,No,Air Traffic,90,7
SH4373,06-02-2023,LAS,LAX,01-01-2023 16:15,,01-01-2023 17:49,,01-01-2023 21:03,,01-01-2023 21:36,,288,33,No,Air Traffic,84,9
SH6296,13-08-2023,ORD,ATL,01-01-2023 05:36,,01-01-2023 06:17,,01-01-2023 09:18,,01-01-2023 09:54,,222,36,No,Technical Issue,115,10
SH4731,07-09-2023,ORD,DEN,01-01-2023 06:00,,01-01-2023 06:58,,01-01-2023 09:14,,01-01-2023 10:31,,194,77,No,Technical Issue,114,3
SH0623,02-03-2023,JFK,DEN,01-01-2023 12:17,,01-01-2023 13:11,,01-01-2023 16:40,,01-01-2023 16:42,,263,2,Yes,Air Traffic,72,9
SH2285,12-03-2023,SFO,SEA,01-01-2023 20:13,,01-01-2023 21:55,,01-01-2023 21:52,,01-01-2023 23:41,,99,109,No,None,178,8
SH0121,14-07-2023,SFO,LAS,01-01-2023 18:07,,01-01-2023 20:07,,01-01-2023 22:12,,01-01-2023 23:46,,245,94,No,Technical Issue,52,3
SH0376,26-06-2025,SFO,ATL,01-01-2023 14:26,,01-01-2023 14:50,,01-01-2023 19:38,,01-01-2023 20:21,,312,43,No,Air Traffic,276,7
SH9131,07-02-2024,ORD,MIA,01-01-2023 22:39,,02-01-2023 00:22,,02-01-2023 04:20,,02-01-2023 04:54,,341,34,No,Technical Issue,280,6
SH2344,07-06-2023,SFO,SFO,01-01-2023 16:29,,01-01-2023 16:59,,01-01-2023 22:28,,02-01-2023 00:08,,359,100,No,None,298,7
SH5380,05-06-2025,DFW,ORD,01-01-2023 04:56,,01-01-2023 05:07,,01-01-2023 08:35,,01-01-2023 09:53,,219,78,No,Weather,166,3
SH6386,08-04-2023,SEA,SEA,01-01-2023 08:06,,01-01-2023 09:55,,01-01-2023 11:13,,01-01-2023 12:34,,187,81,No,Weather,281,2
SH8670,12-02-2025,DEN,MIA,01-01-2023 19:48,,01-01-2023 21:19,,01-01-2023 21:40,,01-01-2023 23:07,,112,87,No,Air Traffic,244,4
SH9175,19-05-2025,ATL,ATL,01-01-2023 10:12,,01-01-2023 11:07,,01-01-2023 15:18,,01-01-2023 15:59,,306,41,No,Crew Unavailability,227,8
SH6833,20-09-2023,DFW,MIA,01-01-2023 06:15,,01-01-2023 07:19,,01-01-2023 08:01,,01-01-2023 08:30,,106,29,No,Technical Issue,93,6
SH9715,02-10-2024,DEN,JFK,01-01-2023 16:02,,01-01-2023 16:41,,01-01-2023 17:40,,01-01-2023 18:13,,98,33,No,Weather,288,5
SH3961,13-02-2025,SEA,DFW,01-01-2023 13:31,,01-01-2023 15:22,,01-01-2023 18:31,,01-01-2023 18:56,,300,25,No,None,70,8
SH6079,02-09-2023,ATL,DFW,01-01-2023 06:21,,01-01-2023 06:50,,01-01-2023 11:56,,01-01-2023 12:53,,335,57,No,Air Traffic,69,9
SH1083,25-08-2023,LAS,ATL,01-01-2023 05:59,,01-01-2023 07:16,,01-01-2023 10:03,,01-01-2023 10:41,,244,38,No,Crew Unavailability,169,9
SH6740,26-12-2023,DEN,JFK,01-01-2023 03:16,,01-01-2023 04:10,,01-01-2023 04:54,,01-01-2023 06:39,,98,105,No,None,193,6
SH5526,03-07-2024,SFO,ATL,01-01-2023 23:25,,01-01-2023 23:50,,02-01-2023 00:33,,02-01-2023 01:03,,68,30,No,Air Traffic,144,5
SH6740,18-09-2023,ORD,LAS,01-01-2023 10:07,,01-01-2023 12:02,,01-01-2023 12:09,,01-01-2023 12:11,,122,2,No,Crew Unavailability,178,6
SH6597,15-05-2025,DEN,MIA,01-01-2023 11:36,,01-01-2023 12:55,,01-01-2023 15:24,,01-01-2023 16:03,,228,39,No,Weather,293,7
SH2510,27-08-2025,DFW,SFO,01-01-2023 06:02,,01-01-2023 06:46,,01-01-2023 07:09,,01-01-2023 07:31,,67,22,No,None,298,2
SH2264,16-08-2024,LAX,MIA,01-01-2023 09:45,,01-01-2023 10:54,,01-01-2023 10:52,,01-01-2023 11:42,,67,50,No,Technical Issue,201,9
SH8394,28-08-2023,SEA,DEN,01-01-2023 16:55,,01-01-2023 18:44,,01-01-2023 21:00,,01-01-2023 21:44,,245,44,Yes,None,133,3
SH1166,01-06-2023,DEN,LAX,01-01-2023 02:44,,01-01-2023 02:57,,01-01-2023 07:49,,01-01-2023 09:47,,305,118,No,Air Traffic,80,8
SH6711,02-08-2023,MIA,DEN,01-01-2023 21:29,,01-01-2023 22:37,,01-01-2023 22:30,,02-01-2023 00:01,,61,91,No,None,149,7
SH7125,28-01-2025,DEN,JFK,01-01-2023 03:01,,01-01-2023 03:18,,01-01-2023 08:28,,01-01-2023 08:48,,327,20,No,Weather,299,5
SH3948,25-08-2024,DFW,LAS,01-01-2023 07:57,,01-01-2023 08:27,,01-01-2023 09:02,,01-01-2023 10:31,,65,89,Yes,None,198,7
SH3641,10-03-2024,LAX,LAX,01-01-2023 07:33,,01-01-2023 07:43,,01-01-2023 08:58,,01-01-2023 09:36,,85,38,No,Crew Unavailability,208,10
SH6866,18-03-2024,ORD,LAX,01-01-2023 19:08,,01-01-2023 19:55,,01-01-2023 20:26,,01-01-2023 21:54,,78,88,No,Crew Unavailability,86,4
SH4896,15-09-2023,DEN,DEN,01-01-2023 01:20,,01-01-2023 02:10,,01-01-2023 03:23,,01-01-2023 04:49,,123,86,No,Weather,213,3
SH5453,10-12-2024,SFO,SFO,01-01-2023 15:35,,01-01-2023 16:05,,01-01-2023 19:05,,01-01-2023 19:05,,210,0,No,None,275,4
SH9731,29-10-2024,SFO,MIA,01-01-2023 03:33,,01-01-2023 03:41,,01-01-2023 06:26,,01-01-2023 08:22,,173,116,No,Weather,107,1
SH7217,18-04-2025,DEN,JFK,01-01-2023 20:37,,01-01-2023 21:45,,01-01-2023 22:36,,02-01-2023 00:04,,119,88,No,Weather,103,9
SH2871,16-06-2023,LAS,ORD,01-01-2023 17:12,,01-01-2023 17:37,,01-01-2023 19:53,,01-01-2023 20:12,,161,19,No,Crew Unavailability,191,7
